TileIndex,Red,Green,Blue
0,98,120,33
1,111,144,26
2,128,163,33
3,118,147,34
4,140,162,52
5,143,152,59
6,120,135,47
7,136,146,67
8,115,133,44
9,133,156,51
10,136,158,46
11,120,139,24
12,97,120,15
13,133,156,25
14,129,152,24
15,134,153,29
16,139,156,33
17,119,138,25
18,163,197,17
19,162,197,20
20,193,219,15
21,209,217,61
22,215,222,116
23,222,225,124
24,238,239,114
25,230,232,76
26,217,223,54
27,184,203,28
28,193,207,42
29,181,202,36
30,183,207,33
31,206,217,30
32,180,204,18
33,202,215,28
34,175,178,44
35,134,142,31
36,169,174,33
37,130,126,26
38,151,160,31
39,147,148,36
40,146,141,53
41,130,142,24
42,153,164,32
43,154,168,31
44,158,159,30
45,142,145,27
46,137,151,22
47,163,169,29
48,160,161,26
49,153,150,40
50,193,198,35
51,178,181,26
52,138,149,33
53,153,165,28
54,147,160,31
55,165,176,59
56,179,186,53
57,149,166,42
58,149,156,50
59,99,94,33
60,61,78,21
61,85,105,32
62,111,131,41
63,104,131,32
64,127,149,52
65,115,142,45
66,98,117,43
67,101,115,43
68,118,134,54
69,115,135,46
70,125,148,41
71,123,144,27
72,108,123,26
73,121,137,30
74,128,154,28
75,119,133,32
76,109,123,24
77,136,174,20
78,147,191,21
79,161,203,18
80,164,199,27
81,207,218,84
82,238,237,164
83,232,232,124
84,225,229,71
85,228,228,61
86,208,209,61
87,183,196,53
88,196,206,55
89,195,212,44
90,175,197,18
91,198,207,24
92,205,219,29
93,198,217,27
94,179,184,30
95,145,149,28
96,150,162,26
97,130,127,26
98,137,139,28
99,132,131,32
100,128,126,49
101,120,133,28
102,139,148,24
103,153,172,23
104,137,153,29
105,135,147,27
106,177,182,33
107,161,162,33
108,144,152,28
109,139,146,35
110,154,163,28
111,141,142,38
112,134,138,35
113,121,130,24
114,159,173,34
115,172,186,47
116,147,160,44
117,120,126,39
118,128,134,46
119,106,106,34
120,42,54,13
121,75,85,36
122,90,105,36
123,85,97,36
124,109,125,47
125,130,146,68
126,107,130,47
127,104,121,52
128,92,106,36
129,83,103,32
130,116,137,42
131,122,141,34
132,95,111,24
133,106,126,30
134,110,129,24
135,89,103,28
136,120,142,30
137,144,169,27
138,142,176,18
139,157,186,25
140,175,203,33
141,211,219,98
142,201,217,106
143,196,214,70
144,196,210,50
145,200,212,45
146,202,211,43
147,183,201,34
148,193,213,38
149,211,230,32
150,205,216,23
151,206,215,32
152,206,214,29
153,187,209,22
154,191,202,28
155,180,184,37
156,147,154,30
157,146,146,33
158,127,126,37
159,136,135,35
160,130,131,48
161,116,130,29
162,131,140,28
163,139,159,31
164,122,141,24
165,125,134,29
166,134,144,22
167,115,121,29
168,117,117,29
169,101,97,28
170,135,140,35
171,72,69,19
172,87,83,20
173,120,126,30
174,174,183,48
175,174,180,41
176,154,152,52
177,134,134,55
178,127,137,44
179,153,162,53
180,71,85,29
181,77,92,37
182,82,100,36
183,77,95,36
184,98,120,48
185,128,149,64
186,121,140,60
187,101,117,47
188,106,119,49
189,81,99,35
190,105,121,47
191,126,140,43
192,83,96,19
193,94,117,26
194,81,91,26
195,102,124,24
196,108,135,18
197,142,168,27
198,133,166,24
199,131,164,24
200,159,190,30
201,197,208,99
202,199,208,101
203,190,206,67
204,209,216,66
205,195,212,43
206,173,187,27
207,193,207,31
208,162,184,23
209,190,213,17
210,192,202,24
211,200,212,39
212,179,197,30
213,171,191,26
214,165,172,28
215,151,158,31
216,151,158,40
217,126,124,36
218,118,117,31
219,136,137,37
220,125,126,50
221,100,107,22
222,146,147,36
223,126,145,27
224,118,136,28
225,135,144,32
226,151,165,30
227,115,120,28
228,99,100,22
229,92,91,23
230,113,123,22
231,71,66,13
232,131,127,46
233,141,153,44
234,171,185,42
