TileIndex,Red,Green,Blue
0,118,112,89
1,118,112,89
2,84,84,80
3,126,110,87
4,138,131,129
5,149,140,175
6,152,154,146
7,200,196,181
8,109,112,104
9,94,89,49
10,135,132,125
11,113,157,178
12,121,121,121
13,62,81,63
14,145,138,98
15,156,144,151
16,104,109,112
17,115,112,99
18,101,97,91
19,154,140,132
20,129,132,133
21,180,157,111
22,82,86,74
23,69,53,38
24,110,122,139
25,144,111,91
26,138,136,121
27,100,82,68
28,199,180,162
29,94,94,94
30,165,123,105
31,121,117,107
32,115,114,93
33,104,109,112
34,115,109,112
35,145,144,123
36,169,162,143
37,203,170,132
38,162,163,168
39,63,45,50
40,150,157,183
41,165,157,140
42,80,80,88
43,41,63,36
44,86,86,45
45,128,110,96
46,164,153,155
47,33,78,53
48,40,76,93
49,121,115,103
50,120,131,166
51,52,80,91
52,144,151,159
53,60,98,146
54,66,68,71
55,138,131,95
56,96,89,82
57,58,58,58
58,173,138,112
59,59,77,71
60,182,171,164
61,36,38,19
62,59,57,31
63,153,121,103
64,71,71,75
65,128,115,107
66,14,63,65
67,121,127,134
68,108,113,133
69,69,64,54
70,141,162,151
71,32,31,36
72,33,78,53
73,136,115,100
74,93,88,76
75,150,117,57
76,91,92,105
77,86,84,74
78,112,112,112
79,101,110,136
80,19,78,138
81,194,159,111
82,189,182,162
83,133,96,81
84,176,149,109
85,133,132,137
86,80,80,88
87,117,92,89
88,119,119,120
89,153,121,103
90,138,116,102
91,89,77,68
92,127,93,68
93,56,84,63
94,162,149,125
95,87,97,104
96,197,197,197
97,120,114,105
98,97,141,187
99,131,137,126
100,62,53,62
101,211,211,211
102,69,64,54
103,70,70,81
104,187,181,167
105,147,147,147
106,152,152,162
107,88,91,98
108,155,133,110
109,93,67,108
110,162,152,154
111,135,127,123
112,109,116,115
113,158,149,143
114,207,204,176
115,76,76,67
116,88,122,90
117,115,114,117
118,132,123,117
119,119,119,120
120,124,126,131
121,118,130,136
122,149,140,175
123,156,152,129
124,205,213,218
125,105,120,128
126,160,155,152
127,121,120,129
128,115,130,129
129,104,99,95
130,106,144,176
131,78,77,75
132,81,54,41
133,184,192,128
134,111,156,180
135,158,149,143
136,179,140,103
137,154,161,175
138,79,80,81
139,117,127,151
140,148,75,56
141,110,119,107
142,90,90,90
143,162,152,154
144,150,155,149
145,127,93,68
146,104,109,112
147,132,147,154
148,133,136,127
149,143,144,147
150,107,125,130
151,62,53,62
152,90,90,90
153,231,201,191
154,57,61,48
155,113,119,137
156,126,132,135
157,62,81,63
158,169,129,82
159,143,127,99
160,132,132,132
161,128,115,108
